     1   5 0 1  0.0000159148  0.0190068680    4.55    -4.55    -1.19   1.29   0.66   1.33   1.25   0.75  90  0.91  0    0.0    0  9.2043 0.0020 0.017 0  0.482 0.025  0.550   1.19  -0.71   1.00  -0.02   0.02   1.00   0.45  -0.05   0.03   1.09  -0.41   0.09   0.08  -0.60   1.00
     2  75 4 1  0.0000662767 -0.3403189126   20.85   182.88    -1.31   0.95   0.53   1.13   1.22   0.66 121  0.06  0    0.0    0  9.4017 0.0017 0.015 0  0.999 0.002  1.040   1.11  -0.33   1.03   0.19  -0.01   1.08   0.27  -0.04  -0.34   1.00  -0.14   0.38   0.04  -0.10   1.00
     3   5 0 1  0.0000874051  0.6782224871    2.26     4.27    -3.43   0.31   0.21   0.36   0.34   0.27 129  1.56  0    0.0    0  6.6081 0.0006 0.008 0 -0.019 0.004  0.000   1.13  -0.32   1.03  -0.42   0.13   1.00  -1.68   0.20   0.16   1.03   0.41  -1.12  -0.14  -0.94   1.00
     4   5 0 1  0.0001462914 -0.9057132401    7.45    62.64     0.19   0.40   0.47   0.77   0.51   0.51 205 -1.50  0    0.0    0  8.1498 0.0011 0.015 0  0.370 0.009  0.430   1.19   0.85   1.03   0.10   0.01   1.08  -1.02  -0.44  -0.10   1.03  -0.63  -0.23   0.70   0.44   1.00
     5   5 0 1  0.0001739224 -0.7084505141    3.88     1.89     8.06   0.55   0.50   0.95   0.58   0.64 163  0.36  0    0.0    0  8.7077 0.0018 0.019 0  0.902 0.013  0.900   1.07  -0.13   1.04  -0.31   0.04   1.05  -0.20   0.14  -0.46   1.00   0.16   0.45   0.30  -0.08   1.00
     6   5 0 1  0.0003166177  0.0688792114   18.17   225.56   -14.44   4.53   2.43   5.81   6.89   3.42  93  7.03  0    0.0    0 12.4488 0.0085 0.091 0  1.336 0.020  1.550   1.10  -0.27   1.01  -0.03  -0.03   1.17   0.03   0.02  -0.12   1.07   0.01   0.01  -0.07  -0.18   1.00
     7   5 0 1  0.0003935529  0.3497046754   17.28  -207.90  -201.46   0.93   0.71   1.16   1.04   0.71 118  0.27  0    0.0    0  9.6795 0.0021 0.017 0  0.740 0.020  0.790   1.09  -0.53   1.01  -0.07  -0.05   1.00   0.19  -0.17   0.05   1.11  -0.30   0.07  -0.14  -0.69   1.00
     8   5 0 1  0.0004763309  0.4518042135    4.98    20.68    -6.37   1.72   0.82   1.85   1.30   0.71  83  1.02  0    0.0    0  8.5522 0.1671 1.460 1  1.102 0.051  3.920   1.59   0.02   1.19   0.64   0.33   1.12   0.26  -0.02  -0.30   1.01  -0.03   0.27  -0.44  -0.21   1.00
     9   5 0 1  0.0006168333  0.6385450727    2.38    -6.88     8.57   0.85   0.51   0.93   1.04   0.58 109  2.12  0    0.0    0  8.7534 0.0018 0.014 0  1.067 0.023  1.030   1.01   0.00   1.01  -0.13  -0.01   1.00   0.04  -0.12   0.06   1.01  -0.20  -0.12  -0.03  -0.23   1.00
    10   5 0 1  0.0006327336 -0.8877979157   10.83    41.80    40.82   0.70   0.68   1.00   0.91   0.78 160  0.11  0    0.0    0  8.6994 0.0020 0.019 0  0.489 0.011  0.560   1.09   0.15   1.03   0.43  -0.10   1.03  -0.01   0.12  -0.05   1.01   0.12   0.27   0.30   0.17   1.00
    11   5 0 1  0.0006509497  0.8192575802    4.18    11.44    -2.18   0.38   0.35   0.60   0.42   0.38 154  0.05  0    0.0    0  7.3777 0.0010 0.012 0  0.081 0.007  0.090   1.06  -0.01   1.08  -0.17  -0.59   1.03   0.73  -0.21   0.26   1.00  -0.24  -0.37  -0.65  -0.19   1.00
    12   5 0 1  0.0007141381 -0.6276243235    3.25    -5.18     1.69   0.64   0.48   0.98   0.88   0.64 188  1.47  0    0.0    0  8.5598 0.0012 0.017 0  1.484 0.020  1.500   1.06  -0.45   1.11   0.00   0.02   1.04   0.35  -0.01   0.00   1.00  -0.11   0.78  -0.46   0.02   1.00
    13   5 0 1  0.0007274453 -0.3943515716   -0.10     7.87    -9.88   1.06   0.60   1.27   1.31   0.53 124  0.70  0    0.0    0  8.9707 0.0017 0.015 0  1.128 0.023  1.090   1.05  -0.29   1.15  -0.21  -0.19   1.02   0.02   0.02  -0.13   1.00   0.03   0.99   0.14   0.14   1.00
    14   5 0 1  0.0008425101 -0.0062905373    4.86    61.35   -10.78   0.57   0.40   0.67   0.78   0.40 102  0.48  0    0.0    0  7.4195 0.0009 0.009 0  1.200 0.015  1.160   1.14  -1.38   1.09   0.08   0.27   1.03  -0.19  -0.21  -0.02   1.14  -0.15   1.04  -0.62  -1.44   1.00
    15   5 0 1  0.0008780568  0.8864732109    1.91    14.45     5.14   0.63   0.68   1.14   0.82   0.67 201  0.79  0    0.0    0  8.7669 0.0018 0.022 0  1.166 0.018  1.130   1.08   0.44   1.06  -0.08  -0.31   1.01  -0.39  -0.05  -0.12   1.01  -0.14   0.17  -0.20   0.21   1.00
    16   5 0 1  0.0008972423 -0.9584323379    1.33   256.40   -96.57   1.42   1.60   2.50   1.75   1.88 201  3.13  0    0.0    0 11.8279 0.0062 0.072 0  0.421 0.015  0.490   1.04   0.20   1.02   0.04   0.06   1.00  -0.01  -0.03  -0.01   1.03  -0.03   0.08   0.04   0.14   1.00
    17   5 0 1  0.0008918585 -0.7014884646    7.33   -34.05   -28.25   0.44   0.42   0.75   0.49   0.52 183 -0.14  0    0.0    0  8.2405 0.0011 0.015 0  0.425 0.007  0.490   1.16  -0.49   1.09  -0.43  -0.05   1.03  -0.72   0.04  -0.31   1.01   0.18   0.81   0.43  -0.19   1.00
    18   5 0 1  0.0009274639 -0.0707510705   22.31  -126.14    23.46   1.93   0.99   2.06   2.44   1.02 115  0.29  3    0.0    0 11.0625 0.0035 0.035 0  1.567 0.197  1.490   1.07  -0.38   1.04  -0.05  -0.04   1.00   0.06  -0.05   0.01   1.05  -0.14   0.30  -0.10  -0.32   1.00
    19   5 0 1  0.0009305554  0.6685324234    4.01    -3.39   -15.39   0.30   0.20   0.35   0.33   0.25 151  1.86  0    0.0    0  6.6890 0.0006 0.007 0  0.955 0.005  0.940   1.17  -1.08   1.05   0.23  -0.29   1.02  -2.07   0.42   0.52   1.04   1.06  -1.40  -0.61  -1.29   1.00
    20   5 0 1  0.0010986964  0.4106634811   10.35    36.22   -22.39   0.67   0.46   0.82   0.73   0.48 108 -0.51  0    0.0    0  8.6208 0.0015 0.011 0  0.516 0.015  0.590   1.16  -0.74   1.02  -0.47  -0.26   1.02  -0.12   0.01   0.03   1.09   0.06   0.12  -0.45  -0.89   1.00
    21   5 0 1  0.0011560330  0.1397526025    5.28    61.06    -0.21   0.77   0.44   0.85   0.77   0.50 105  2.71  0    0.0    0  7.6923 0.0012 0.010 0  1.438 0.017  1.430   1.06  -0.78   1.02  -0.13   0.02   1.05   0.36  -0.06   0.09   1.07  -0.27   0.44  -0.83  -0.88   1.00
    22   5 0 1  0.0012240972 -0.8613595480    3.14    -7.83     1.19   0.59   0.71   1.03   0.86   0.81 203 -0.55  0    0.0    0  8.8563 0.0017 0.024 0  0.962 0.014  0.950   1.02   0.17   1.05   0.05   0.10   1.00  -0.11   0.18  -0.09   1.01   0.15   0.29   0.08  -0.12   1.00
    23   5 0 1  0.0012990439  0.2323419122   11.59    52.99     8.73   0.61   0.36   0.68   0.67   0.38 106  1.09  0    0.0    0  7.6626 0.0015 0.011 0  0.456 0.015  0.530   1.10  -1.00   1.04  -0.24  -0.02   1.01   0.58  -0.36  -0.09   1.11  -0.88   0.88  -0.31  -1.40   1.00
    24   5 0 1  0.0013273191 -0.4093276878    9.48   126.75    21.99   0.84   0.54   1.02   0.99   0.47 144  0.68  0    0.0    0  9.1657 0.0015 0.017 0  0.528 0.015  0.600   1.05  -0.27   1.16   0.13  -0.23   1.02   0.26   0.00  -0.22   1.00  -0.05   1.16  -0.03   0.14   1.00
